well,sample,target,task,reporter,quencher,cycle,cycle_mean,cycle_sd,quantity,quantity_mean,quantity_sd,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,comments,high_sd,no_amp,outlier_rg,exp_fail,q_group
F4,S3P LP1S2,PAV,UNKNOWN,FAM,NFQ-MGB,34.8608017,34.52866364,0.343334705,4599.492676,5882.123047,1388.444824,TRUE,0.035657635,TRUE,3,32,NA,N,N,N,N,1
F4,S3P LP1S2,RPV,UNKNOWN,VIC,NFQ-MGB,32.40805054,32.25193405,0.14702417,28962.44727,32159.10156,3045.417725,TRUE,0.032394665,TRUE,3,30,NA,N,N,N,N,1
F5,S3P LP1S2,PAV,UNKNOWN,FAM,NFQ-MGB,34.55005646,34.52866364,0.343334705,5690.41748,5882.123047,1388.444824,TRUE,0.035657635,TRUE,3,32,NA,N,N,N,N,1
F5,S3P LP1S2,RPV,UNKNOWN,VIC,NFQ-MGB,32.11611176,32.25193405,0.14702417,35026.53125,32159.10156,3045.417725,TRUE,0.032394665,TRUE,3,29,NA,N,N,N,N,1
F6,S3P LP1S2,PAV,UNKNOWN,FAM,NFQ-MGB,34.17513275,34.52866364,0.343334705,7356.458984,5882.123047,1388.444824,TRUE,0.035657635,TRUE,3,32,NA,N,N,N,N,1
F6,S3P LP1S2,RPV,UNKNOWN,VIC,NFQ-MGB,32.23163223,32.25193405,0.14702417,32488.32422,32159.10156,3045.417725,TRUE,0.032394665,TRUE,3,30,NA,N,N,N,N,1
F7,NTC PAV Only,PAV,TEST,FAM,NFQ-MGB,40.38401031,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,38,NA,N,N,N,N,1
F7,NTC PAV Only,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,N,N,N,1
F8,NTC PAV Only,PAV,TEST,FAM,NFQ-MGB,38.5051384,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,36,NA,N,N,N,N,1
F8,NTC PAV Only,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,N,N,N,1
F9,NTC PAV Only,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,N,N,N,1
F9,NTC PAV Only,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,N,N,N,1
F10,NTC RPV Only,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,N,N,N,1
